pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;Buenos Aires;Tordillo;2018;cuenca del salado;cria;2425;1095;2849;424;1330;31;92;72;293;;;
Argentina;Entre Rios;Concordia;2018;entre rios norte;cria;1429;661;1948;519;768;30;70;67;231;;;
Argentina;Entre Rios;Federacion;2018;entre rios norte;cria;1429;661;1948;519;768;30;70;67;231;;;
Argentina;Entre Rios;Federal;2018;entre rios norte;cria;1429;661;1948;519;768;30;70;67;231;;;
Argentina;Entre Rios;Feliciano;2018;entre rios norte;cria;1429;661;1948;519;768;30;70;67;231;;;
Argentina;Entre Rios;La Paz;2018;entre rios norte;cria;1429;661;1948;519;768;30;70;67;231;;;
Argentina;Entre Rios;Colon;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Diamante;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Gualeguay;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Gualeguaychu;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Nogoya;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Parana;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;San Salvador;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Tala;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Uruguay;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Victoria;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Villaguay;2018;entre rios sw;invernada;1429;-1025;5852;4424;2454;59;284;-99999;482;;;
Argentina;Entre Rios;Islas Del Ibicuy;2018;islas de entre rios 1;invernada;532;135;1157;625;397;39;51;-99999;132;;;
Argentina;La Pampa;Caleu Caleu;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Chalileo;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Curaco;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Hucal;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Lihuel Calel;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Limay Mahuida;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;7
Argentina;La Pampa;Utracan;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;14
Argentina;San Luis;Ayacucho;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;San Luis;Belgrano;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;San Luis;Junin;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;San Luis;Libertador General San Martin;2018;la pampa-san luis arida;cria;335;170;488;152;165;29;17;65;59;;;
Argentina;La Pampa;Guatrache;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;49
Argentina;La Pampa;Loventue;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;63
Argentina;La Pampa;Toay;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;35
Argentina;San Luis;Chacabuco;2018;la pampa-san luis semiarida;cria;661;388;1019;358;273;31;34;70;109;;;21
